timestamp,cores,site,vo
1527426038.1798973,0,UKI-NORTHGRID-LIV-HEP3,casu
1527431988.3292546,0,UKI-SCOTGRID-ECDF2,vcycle
1527432081.9022503,160,UK-CAM-CUMULUS47,UKI-LT2-QMUL
1527438668.1921163,160,UKI-SOUTHGRID-OX-HEP2,UKI-LT2-RHUL
1527460988.584503,224,ral-cloud244,gaia-test
1527466252.555189,160,UKI-NORTHGRID-LANCS-HEP7,UKI-LT2-Brunel
1527471073.6427245,320,UKI-LT2-QMUL4,lsst
1527477005.1871576,320,UKI-SCOTGRID-ECDF2,ral-cloud
1527504421.4827619,416,UKI-NORTHGRID-LANCS-HEP7,AENEAS
1527513741.745979,32,UKI-NORTHGRID-LIV-HEP3,RAL-LCG2
1527514355.0797439,448,UKI-LT2-Brunel9,virgo
1527514999.6200185,160,UKI-SOUTHGRID-RALPP5,UK-CAM-CUMULUS
1527535835.1596775,288,UK-CAM-CUMULUS47,AENEAS
1527543471.231091,288,UKI-LT2-Brunel9,ral-cloud
1527561991.8909554,192,RAL-LCG211,gaia-dev
1527597435.9534733,96,UKI-NORTHGRID-LANCS-HEP7,virgo
1527614701.882181,672,UKI-SCOTGRID-ECDF2,UKI-SOUTHGRID-RALPP
1527626980.8608356,192,UKI-LT2-QMUL4,UKI-SOUTHGRID-BHAM-HEP
1527639721.0078464,928,UKI-NORTHGRID-SHEF-HEP7,UKI-LT2-IC-HEP
1527662344.2532077,960,UKI-NORTHGRID-LIV-HEP3,RAL-LCG2
1527668763.1658762,608,UKI-LT2-Brunel9,dirac
1527671434.4275308,992,UKI-LT2-Brunel9,eMERLIN
1527680359.3787348,320,UKI-SCOTGRID-ECDF2,EUCLID
1527683203.1044905,1088,UKI-SOUTHGRID-RALPP5,vo.cta.in2p3.fr
1527694486.4266493,928,UKI-NORTHGRID-LIV-HEP3,gaia-prod
1527701926.0900927,928,UKI-NORTHGRID-SHEF-HEP7,EUCLID
1527704607.148791,416,UKI-NORTHGRID-MAN-HEP14,UKI-SOUTHGRID-BRIS-HEP
1527721330.7627153,64,UKI-NORTHGRID-MAN-HEP14,UKI-SOUTHGRID-CAM-HEP
1527756306.2244513,160,UKI-LT2-RH,gaia-dev
1527768141.63269,1792,UKI-LT2-RH,UKI-SOUTHGRID-OX-HEP
1527777733.0372515,800,UKI-SOUTHGRID-OX-HEP2,gaia-dev
1527800060.6565752,544,UKI-SOUTHGRID-BRIS-HEP1,UKI-NORTHGRID-LANCS-HEP
1527806953.8565707,1088,UKI-SOUTHGRID-BRIS-HEP1,UKI-SCOTGRID-GLASGOW
1527809461.0937128,512,ral-cloud244,RAL-LCG2
1527809674.446417,672,UKI-LT2-Brunel9,CCFE
1527816347.907714,1984,UKI-LT2-IC-HEP25,dirac
1527830303.664317,1280,UKI-SOUTHGRID-BRIS-HEP1,UKI-SCOTGRID-GLASGOW
1527832939.0414267,1280,UKI-SCOTGRID-GLASGOW4,lz
1527843520.727381,1920,UKI-NORTHGRID-SHEF-HEP7,lz
1527859184.3459456,864,UKI-LT2-RH,UK-CAM-CUMULUS
1527859962.0346665,1952,UKI-SCOTGRID-ECDF2,UKI-SOUTHGRID-OX-HEP
1527867634.3575752,1888,UKI-SCOTGRID-ECDF2,CCFE
1527874746.3971965,480,UKI-SOUTHGRID-RALPP5,CCFE
1527891514.5260208,576,UKI-NORTHGRID-SHEF-HEP7,virgo
1527894712.5265265,1088,UKI-SCOTGRID-ECDF2,ISIS
1527917430.3890228,2528,UKI-SCOTGRID-GLASGOW4,casu
1527922929.077317,1376,UKI-NORTHGRID-LANCS-HEP7,lsst
1527936116.924005,608,UKI-NORTHGRID-LANCS-HEP7,vo.cta.in2p3.fr
1527944917.1174707,1024,UKI-SOUTHGRID-CAM-HEP,UKI-SOUTHGRID-CAM-HEP
1527962656.975487,2016,RAL-LCG211,lz
1527970020.6965168,640,UKI-SCOTGRID-ECDF2,skatelescope.eu
1527970683.963715,3072,UKI-SOUTHGRID-CAM-HEP,UKI-NORTHGRID-MAN-HEP
1527970805.8621683,480,UKI-SOUTHGRID-BHAM-HEP,vcycle
1527978850.185105,1536,UKI-LT2-IC-HEP25,Capacity
1527993389.3642666,2432,UKI-NORTHGRID-SHEF-HEP7,UKI-LT2-IC-HEP
1528006968.1293623,3488,UKI-SOUTHGRID-RALPP5,UKI-LT2-QMUL
1528016105.55588,3104,UKI-SOUTHGRID-CAM-HEP,Capacity
1528026153.105773,768,UKI-NORTHGRID-SHEF-HEP7,UK-CAM-CUMULUS
1528044123.7904522,1664,UK-CAM-CUMULUS47,UKI-SOUTHGRID-BHAM-HEP
1528046709.5198803,1760,UKI-SOUTHGRID-CAM-HEP,UKI-LT2-IC-HEP
1528052960.9471076,1248,UKI-LT2-IC-HEP25,Diamond
1528053361.1623118,2112,UKI-NORTHGRID-SHEF-HEP7,RAL-LCG2
1528059151.6884165,3168,UKI-NORTHGRID-LIV-HEP3,virgo
1528071806.1028166,128,UKI-LT2-RH,UKI-NORTHGRID-SHEF-HEP
1528076845.9714804,192,UKI-LT2-IC-HEP25,ral-cloud
1528080611.6248996,2432,UK-CAM-CUMULUS47,lsst
