date,cores,site,vo
1560470483.983787,0,ral-cloud244,EUCLID
1559142063.5492556,32,UKI-LT2-RH,UKI-SOUTHGRID-CAM-HEP
1542517180.8780925,96,UKI-SCOTGRID-ECDF2,casu
1617602857.3655705,64,RAL-LCG211,casu
1618144344.028187,0,UKI-SOUTHGRID-RALPP5,ral-cloud
1601483471.7288048,32,UKI-NORTHGRID-LANCS-HEP7,dune
1605083512.6121597,160,UKI-LT2-RH,lsst
1535272266.5236638,32,UKI-SOUTHGRID-RALPP5,dirac
1548476656.3416474,480,UKI-SCOTGRID-ECDF2,UKI-NORTHGRID-MAN-HEP
1567299644.1483943,96,ral-cloud244,UKI-SCOTGRID-ECDF
1615591378.2866013,160,UKI-SOUTHGRID-BRIS-HEP1,UKI-SOUTHGRID-OX-HEP
1572682682.5897555,512,UKI-NORTHGRID-SHEF-HEP7,gaia-prod
1619737535.0550663,672,UKI-SOUTHGRID-BRIS-HEP1,dune
1593038888.802931,512,RAL-LCG211,UK-CAM-CUMULUS
1528828567.0668836,288,UK-CAM-CUMULUS47,lsst
1528823811.0133429,512,UKI-LT2-IC-HEP25,gaia
1550246140.1583085,288,UKI-SOUTHGRID-RALPP5,UK-CAM-CUMULUS
1575700286.4539323,832,UKI-NORTHGRID-MAN-HEP14,vcycle
1596264726.4229615,96,UKI-SOUTHGRID-BHAM-HEP,CLF
1598825314.0885422,416,UKI-NORTHGRID-MAN-HEP14,gaia-dev
1528717824.80908,800,UKI-LT2-QMUL4,ISIS
1555165627.2293777,1056,UKI-SOUTHGRID-RALPP5,lz
1540085225.6807551,1056,UKI-NORTHGRID-LIV-HEP3,UKI-NORTHGRID-SHEF-HEP
1555204362.309994,1216,UK-CAM-CUMULUS47,lsst
1547404841.9273732,384,UKI-LT2-Brunel9,UKI-LT2-IC-HEP
1577291578.3746061,1280,UKI-SCOTGRID-ECDF2,LSST
1535733978.3157213,1568,RAL-LCG211,vcycle
1536222357.8171494,480,RAL-LCG211,ral-cloud
1549694654.5537567,32,UKI-SOUTHGRID-CAM-HEP,UKI-SOUTHGRID-RALPP
1542566296.933845,1792,ral-cloud244,dune
1540737781.4046466,1248,UKI-SOUTHGRID-CAM-HEP,UKI-NORTHGRID-SHEF-HEP
1531439717.184178,1920,UKI-SCOTGRID-ECDF2,UKI-SOUTHGRID-OX-HEP
1599494075.4902546,1504,UKI-NORTHGRID-LIV-HEP3,UKI-NORTHGRID-LANCS-HEP
1569699131.5080614,1120,UKI-NORTHGRID-SHEF-HEP7,lsst
1557813625.021445,1856,UKI-LT2-Brunel9,casu
1543794262.2875996,1024,UKI-NORTHGRID-SHEF-HEP7,UKI-NORTHGRID-LANCS-HEP
1615259602.4941366,1536,UKI-NORTHGRID-SHEF-HEP7,UKI-NORTHGRID-MAN-HEP
1535719887.9576423,1600,UKI-SOUTHGRID-OX-HEP2,UKI-LT2-IC-HEP
1587851799.2703912,2304,UKI-NORTHGRID-MAN-HEP14,LSST
1601727904.654925,1984,UKI-LT2-RH,UKI-SOUTHGRID-BRIS-HEP
1611540255.9156265,2528,UK-CAM-CUMULUS47,jintrac
1543039394.97678,1440,ral-cloud244,UKI-SOUTHGRID-RALPP
1602519904.0771801,1600,UKI-NORTHGRID-LANCS-HEP7,gaia
1570051223.3247287,416,UKI-SOUTHGRID-CAM-HEP,UKI-NORTHGRID-LIV-HEP
1554599630.1218233,384,UKI-NORTHGRID-LIV-HEP3,vo.cta.in2p3.fr
1542059237.5868385,320,UKI-NORTHGRID-MAN-HEP14,gaia-test
1553333721.7331302,2208,UKI-SOUTHGRID-BRIS-HEP1,UKI-SOUTHGRID-OX-HEP
